image_name,image_format,file_size,size,location,angle,white_percent,object_percentage,is_deviation,blur_value,image_brightness,contrast,blank_percentage,blank_background_color,create_time,proba,label
100209,JPEG,50,"(400, 400)","(0, 0, 400, 400)",0,"(0.0, 0.0, 0.0, 0.0)",1,"(0.0, False)",1536,99.841,251.623,0.001,0,2019/11/8,1,0
10026,jpg,44,"(400, 400)","(140, 16, 99, 307)",0.69,"(0.04, 0.193, 0.35, 0.403)",0.19,"(0.081, True)",369,173.459,88.811,0.64,254,2019/11/8,1,0
1003,jpg,38,"(800, 800)","(271, 26, 265, 748)",1.502,"(0.033, 0.033, 0.339, 0.33)",0.31,"(0.004, False)",157,219.298,52.764,0.107,253,2019/11/8,1,0
100357,jpg,42,"(585, 585)","(234, 30, 114, 500)",1.102,"(0.051, 0.094, 0.4, 0.405)",0.167,"(0.022, False)",382,198.375,74.668,0.001,254,2019/11/8,1,0
100358,jpg,44,"(476, 476)","(157, 80, 171, 307)",1.459,"(0.168, 0.187, 0.33, 0.311)",0.232,"(0.013, False)",840,204.493,144.179,0.001,254,2019/11/8,1,0
10036,jpg,67,"(800, 800)","(129, 82, 538, 691)",2.4,"(0.102, 0.034, 0.161, 0.166)",0.581,"(0.034, False)",289,164.543,82.968,0.64,254,2019/11/8,1,0
10037,jpg,86,"(800, 800)","(100, 95, 587, 670)",0.158,"(0.119, 0.044, 0.125, 0.141)",0.615,"(0.038, False)",304,162.918,79.145,0.64,254,2019/11/8,1,0
10038,jpg,76,"(800, 800)","(126, 68, 528, 681)",2.381,"(0.085, 0.064, 0.158, 0.182)",0.562,"(0.016, False)",375,173.623,91.163,0.64,254,2019/11/8,1,0
10039,jpg,61,"(800, 800)","(287, 23, 189, 749)",0,"(0.029, 0.035, 0.359, 0.405)",0.221,"(0.023, False)",238,156.84,57.929,0.64,254,2019/11/8,1,0
100418,jpg,33,"(800, 800)","(320, 23, 152, 753)",1.484,"(0.029, 0.03, 0.4, 0.41)",0.179,"(0.005, False)",116,183.732,39.094,0.001,253,2019/11/8,1,0
10043,jpg,74,"(400, 400)","(122, 18, 159, 364)",0.764,"(0.045, 0.045, 0.305, 0.297)",0.362,"(0.004, False)",917,104.206,168.06,0.64,254,2019/11/8,1,0
10044,jpg,78,"(400, 400)","(125, 35, 158, 327)",0.887,"(0.087, 0.095, 0.312, 0.292)",0.323,"(0.011, False)",217,99.848,72.137,0.64,254,2019/11/8,1,0
10045,jpg,89,"(400, 400)","(86, 47, 214, 326)",2.862,"(0.117, 0.068, 0.215, 0.25)",0.436,"(0.031, False)",914,150.654,174.515,0.64,254,2019/11/8,1,0
100450,jpg,49,"(800, 800)","(227, 33, 351, 729)",0.509,"(0.041, 0.048, 0.284, 0.278)",0.4,"(0.004, False)",394,135.616,114.708,0.001,253,2019/11/8,1,0
100456,JPEG,55,"(400, 400)","(0, 0, 400, 400)",0,"(0.0, 0.0, 0.0, 0.0)",1,"(0.0, False)",2131,187.57,326.46,0.001,0,2019/11/8,1,0
10046,jpg,75,"(400, 400)","(124, 24, 142, 322)",1.134,"(0.06, 0.135, 0.31, 0.335)",0.286,"(0.04, False)",220,142.232,72.123,0.64,254,2019/11/8,1,0
100462,jpg,43,"(800, 800)","(274, 31, 253, 735)",0,"(0.039, 0.043, 0.343, 0.341)",0.291,"(0.002, False)",213,184.777,74.995,0.001,253,2019/11/8,1,0
100463,jpg,43,"(800, 800)","(282, 26, 236, 742)",0,"(0.033, 0.04, 0.352, 0.352)",0.274,"(0.004, False)",338,175.777,84.251,0.001,253,2019/11/8,1,0
100466,jpg,51,"(800, 800)","(210, 40, 384, 719)",0,"(0.05, 0.051, 0.263, 0.258)",0.431,"(0.003, False)",584,217.34,129.697,0.001,253,2019/11/8,1,0
10047,jpg,74,"(400, 400)","(78, 65, 217, 310)",1.377,"(0.163, 0.062, 0.195, 0.263)",0.42,"(0.06, True)",1219,122.421,238.77,0.64,254,2019/11/8,1,0
100492,jpg,37,"(800, 800)","(300, 34, 203, 733)",0,"(0.043, 0.041, 0.375, 0.371)",0.232,"(0.002, False)",204,163.871,61.359,0.001,253,2019/11/8,1,0
100494,jpg,55,"(800, 800)","(224, 55, 353, 693)",0,"(0.069, 0.065, 0.28, 0.279)",0.382,"(0.002, False)",297,177.458,74.261,0.001,253,2019/11/8,1,0
100538,png,77,"(242, 194)","(12, 27, 221, 115)",2.203,"(0.139, 0.268, 0.05, 0.037)",0.541,"(0.065, True)",1076,210.284,240.175,0.001,254,2019/11/8,1,0
100561,jpg,49,"(800, 800)","(232, 69, 359, 666)",0.353,"(0.086, 0.081, 0.29, 0.261)",0.374,"(0.015, False)",110,179.226,45.146,0.001,253,2019/11/8,1,0
100569,jpg,48,"(800, 800)","(266, 26, 274, 744)",1.078,"(0.033, 0.037, 0.333, 0.325)",0.319,"(0.005, False)",149,190.729,43.877,0.001,253,2019/11/8,1,0
100571,jpg,43,"(800, 800)","(259, 31, 287, 729)",1.848,"(0.039, 0.05, 0.324, 0.318)",0.327,"(0.006, False)",216,170.138,75.805,0.001,253,2019/11/8,1,0
100573,jpg,59,"(800, 800)","(52, 206, 697, 373)",7.989,"(0.258, 0.276, 0.065, 0.064)",0.406,"(0.009, False)",311,203.917,92.952,0.001,253,2019/11/8,1,0
100575,jpg,61,"(800, 800)","(156, 50, 474, 715)",17.059,"(0.062, 0.044, 0.195, 0.212)",0.53,"(0.013, False)",269,190.797,67.992,0.001,253,2019/11/8,1,0
100594,jpg,39,"(800, 800)","(322, 37, 155, 726)",0,"(0.046, 0.046, 0.403, 0.404)",0.176,"(0.001, False)",271,165.394,66.008,0.001,254,2019/11/8,1,0
100597,jpg,77,"(800, 800)","(37, 107, 726, 586)",0,"(0.134, 0.134, 0.046, 0.046)",0.665,"(0.0, False)",811,175.283,184.718,0.001,254,2019/11/8,1,0
100599,jpg,83,"(800, 800)","(37, 132, 726, 536)",0,"(0.165, 0.165, 0.046, 0.046)",0.608,"(0.0, False)",702,121.116,191.926,0.001,254,2019/11/8,1,0
1006,jpg,87,"(400, 400)","(74, 44, 252, 326)",0,"(0.11, 0.075, 0.185, 0.185)",0.513,"(0.018, False)",979,178.656,253.487,0.107,253,2019/11/8,1,0
100607,jpg,49,"(750, 734)","(71, 38, 597, 659)",1.229,"(0.052, 0.05, 0.095, 0.109)",0.715,"(0.007, False)",133,161.087,62.015,0.001,254,2019/11/8,1,0
100609,jpg,43,"(750, 687)","(8, 142, 736, 429)",3.845,"(0.207, 0.169, 0.011, 0.008)",0.613,"(0.019, False)",162,189.714,72.621,0.001,254,2019/11/8,1,0
100633,jpg,87,"(800, 800)","(220, 43, 360, 713)",0.573,"(0.054, 0.055, 0.275, 0.275)",0.401,"(0.001, False)",1249,151.437,309.113,0.001,253,2019/11/8,1,0
100640,jpg,25,"(620, 684)","(102, 75, 424, 538)",1.913,"(0.11, 0.104, 0.165, 0.152)",0.538,"(0.007, False)",686,179.405,162.289,0.001,254,2019/11/8,1,1
100641,jpg,53,"(800, 800)","(219, 37, 356, 729)",0,"(0.046, 0.043, 0.274, 0.281)",0.406,"(0.004, False)",284,142.891,79.893,0.001,253,2019/11/8,1,0
100667,jpg,41,"(800, 800)","(294, 37, 206, 666)",0,"(0.046, 0.121, 0.367, 0.375)",0.214,"(0.038, False)",287,172.142,59.242,0.001,254,2019/11/8,1,0
100670,jpg,37,"(800, 800)","(302, 89, 194, 519)",0.573,"(0.111, 0.24, 0.378, 0.38)",0.157,"(0.064, True)",159,169.863,37.34,0.001,254,2019/11/8,1,0
100675,jpg,36,"(800, 800)","(305, 90, 190, 525)",0,"(0.113, 0.231, 0.381, 0.381)",0.156,"(0.059, True)",136,167.498,33.834,0.001,254,2019/11/8,1,0
10068,jpg,77,"(400, 400)","(61, 37, 302, 361)",0.395,"(0.092, 0.005, 0.152, 0.092)",0.681,"(0.053, True)",2719,197.201,521.006,0.64,254,2019/11/8,1,1
1007,jpg,10,"(400, 400)","(108, 53, 195, 297)",0,"(0.133, 0.125, 0.27, 0.242)",0.362,"(0.014, False)",349,189.462,96.618,0.107,254,2019/11/8,1,0
10070,jpg,65,"(400, 400)","(106, 35, 165, 244)",0,"(0.087, 0.302, 0.265, 0.323)",0.252,"(0.111, True)",185,164.623,61.3,0.64,254,2019/11/8,1,0
10071,jpg,66,"(400, 400)","(136, 20, 97, 361)",1.131,"(0.05, 0.048, 0.34, 0.417)",0.219,"(0.039, False)",406,169.154,123.859,0.64,254,2019/11/8,1,0
10072,jpg,87,"(400, 400)","(95, 45, 204, 327)",2.01,"(0.113, 0.07, 0.237, 0.253)",0.417,"(0.023, False)",489,154.387,134.245,0.64,254,2019/11/8,1,1
10073,jpg,57,"(400, 400)","(144, 13, 86, 372)",0.333,"(0.033, 0.037, 0.36, 0.425)",0.2,"(0.033, False)",400,181.762,109.178,0.64,254,2019/11/8,1,0
10074,jpg,71,"(400, 400)","(130, 33, 119, 320)",0,"(0.083, 0.117, 0.325, 0.378)",0.238,"(0.032, False)",765,201.452,159.933,0.64,254,2019/11/8,1,0
10075,jpg,76,"(400, 400)","(129, 18, 128, 340)",1.414,"(0.045, 0.105, 0.323, 0.357)",0.272,"(0.035, False)",780,198.943,164.928,0.64,254,2019/11/8,1,0
10077,jpg,75,"(400, 400)","(142, 16, 108, 366)",0,"(0.04, 0.045, 0.355, 0.375)",0.247,"(0.01, False)",1177,212.979,227.199,0.64,254,2019/11/8,1,0
10078,jpg,56,"(400, 400)","(151, 32, 87, 282)",0,"(0.08, 0.215, 0.378, 0.405)",0.153,"(0.069, True)",311,186.661,64.13,0.64,254,2019/11/8,1,0
10079,jpg,66,"(400, 400)","(161, 22, 93, 353)",0,"(0.055, 0.062, 0.403, 0.365)",0.205,"(0.019, False)",450,197.47,107.914,0.64,254,2019/11/8,1,0
1008,jpg,9,"(400, 400)","(101, 52, 210, 296)",1.71,"(0.13, 0.13, 0.253, 0.223)",0.389,"(0.015, False)",174,197.182,65.861,0.107,254,2019/11/8,1,0
10080,jpg,56,"(600, 600)","(212, 48, 163, 524)",0,"(0.08, 0.047, 0.353, 0.375)",0.237,"(0.02, False)",283,177.455,61.445,0.64,254,2019/11/8,1,0
100805,jpg,34,"(800, 800)","(217, 31, 375, 747)",12.714,"(0.039, 0.028, 0.271, 0.26)",0.438,"(0.008, False)",75,185.808,32.122,0.001,253,2019/11/8,1,0
100808,jpg,42,"(800, 800)","(209, 62, 389, 696)",17.981,"(0.077, 0.052, 0.261, 0.253)",0.423,"(0.013, False)",94,217.321,31.685,0.001,253,2019/11/8,1,0
100813,jpg,39,"(800, 800)","(217, 52, 387, 710)",9.09,"(0.065, 0.048, 0.271, 0.245)",0.429,"(0.016, False)",58,214.47,24.493,0.001,253,2019/11/8,1,0
100815,jpg,44,"(800, 800)","(232, 27, 347, 747)",0,"(0.034, 0.033, 0.29, 0.276)",0.405,"(0.007, False)",202,181.275,60.765,0.001,253,2019/11/8,1,0
100818,jpg,33,"(800, 800)","(236, 64, 326, 691)",1.085,"(0.08, 0.056, 0.295, 0.297)",0.352,"(0.012, False)",58,185.778,22.996,0.001,253,2019/11/8,1,0
100824,jpg,34,"(800, 800)","(261, 43, 324, 728)",10.954,"(0.054, 0.036, 0.326, 0.269)",0.369,"(0.03, False)",47,197.919,19.48,0.001,253,2019/11/8,1,0
100831,jpg,36,"(800, 800)","(274, 53, 323, 712)",0.747,"(0.066, 0.044, 0.343, 0.254)",0.359,"(0.046, False)",144,201.441,47.437,0.001,253,2019/11/8,1,0
100837,jpg,34,"(800, 800)","(256, 96, 341, 676)",10.364,"(0.12, 0.035, 0.32, 0.254)",0.36,"(0.054, True)",56,196.612,27.348,0.001,253,2019/11/8,1,0
10089,jpg,40,"(300, 300)","(98, 54, 100, 202)",10.098,"(0.18, 0.147, 0.327, 0.34)",0.224,"(0.018, False)",408,185.901,98.092,0.64,254,2019/11/8,1,0
101,jpg,79,"(400, 400)","(114, 53, 174, 292)",0,"(0.133, 0.138, 0.285, 0.28)",0.318,"(0.004, False)",459,113.021,119.163,0.726,254,2019/11/8,1,0
101006,jpg,33,"(800, 800)","(320, 36, 158, 725)",0,"(0.045, 0.049, 0.4, 0.403)",0.179,"(0.002, False)",192,167.563,61.163,0.001,253,2019/11/8,1,0
101015,png,95,"(231, 352)","(41, 36, 114, 282)",0,"(0.102, 0.097, 0.177, 0.329)",0.395,"(0.076, True)",808,161.986,140.843,0.001,254,2019/11/8,1,0
101040,jpg,56,"(800, 800)","(190, 41, 405, 718)",0,"(0.051, 0.051, 0.237, 0.256)",0.454,"(0.009, False)",354,134.273,105.463,0.001,253,2019/11/8,1,0
101141,jpg,47,"(800, 800)","(234, 52, 360, 698)",0.257,"(0.065, 0.062, 0.292, 0.258)",0.393,"(0.018, False)",118,130.818,52.125,0.001,253,2019/11/8,1,0
101146,jpg,38,"(800, 800)","(220, 54, 364, 690)",0.848,"(0.068, 0.07, 0.275, 0.27)",0.392,"(0.003, False)",156,40.93,60.655,0.001,253,2019/11/8,1,0
101163,jpg,42,"(800, 800)","(93, 75, 610, 650)",1.075,"(0.094, 0.094, 0.116, 0.121)",0.62,"(0.003, False)",445,107.841,116.787,0.001,253,2019/11/8,1,0
101165,jpg,50,"(800, 800)","(81, 70, 623, 662)",2.235,"(0.087, 0.085, 0.101, 0.12)",0.644,"(0.009, False)",371,201.255,98.876,0.001,253,2019/11/8,1,0
101169,jpg,54,"(800, 800)","(204, 27, 393, 747)",0.132,"(0.034, 0.033, 0.255, 0.254)",0.459,"(0.001, False)",382,90.095,107.85,0.001,253,2019/11/8,1,0
101172,jpg,52,"(800, 800)","(307, 35, 187, 731)",0.421,"(0.044, 0.043, 0.384, 0.383)",0.214,"(0.001, False)",214,108.653,55.038,0.001,254,2019/11/8,1,0
101173,jpg,35,"(800, 800)","(223, 369, 298, 355)",0.211,"(0.461, 0.095, 0.279, 0.349)",0.165,"(0.186, True)",25,134.019,13.864,0.001,252,2019/11/8,1,0
101228,jpg,39,"(800, 800)","(231, 50, 334, 710)",0.475,"(0.062, 0.05, 0.289, 0.294)",0.371,"(0.007, False)",104,145.704,47.63,0.001,253,2019/11/8,1,0
101231,jpg,12,"(342, 301)","(99, 30, 139, 255)",0,"(0.1, 0.053, 0.289, 0.304)",0.344,"(0.024, False)",498,204.858,108.374,0.001,254,2019/11/8,1,0
101232,jpg,11,"(333, 301)","(101, 33, 105, 225)",3.576,"(0.11, 0.143, 0.303, 0.381)",0.236,"(0.042, False)",437,194.068,93.274,0.001,254,2019/11/8,1,0
101238,jpg,36,"(800, 800)","(316, 31, 169, 743)",0,"(0.039, 0.033, 0.395, 0.394)",0.196,"(0.003, False)",209,161.821,68.51,0.001,253,2019/11/8,1,0
10126,jpg,36,"(300, 300)","(101, 61, 101, 196)",0.363,"(0.203, 0.143, 0.337, 0.327)",0.22,"(0.03, False)",332,180.478,84.185,0.64,254,2019/11/8,1,0
101260,jpg,61,"(800, 800)","(209, 50, 386, 720)",0.165,"(0.062, 0.037, 0.261, 0.256)",0.434,"(0.013, False)",612,154.794,174.002,0.001,253,2019/11/8,1,0
10127,jpg,47,"(300, 300)","(78, 55, 163, 199)",7.386,"(0.183, 0.153, 0.26, 0.197)",0.36,"(0.035, False)",431,212.434,109.384,0.64,254,2019/11/8,1,0
1013,jpg,12,"(400, 400)","(80, 54, 223, 290)",1.061,"(0.135, 0.14, 0.2, 0.242)",0.404,"(0.021, False)",831,156.484,225.076,0.107,252,2019/11/8,1,0
10131,png,58,"(300, 300)","(92, 54, 110, 195)",0,"(0.18, 0.17, 0.307, 0.327)",0.238,"(0.011, False)",1174,184.487,244.399,0.64,255,2019/11/8,1,0
10132,png,50,"(300, 300)","(95, 45, 104, 208)",0,"(0.15, 0.157, 0.317, 0.337)",0.24,"(0.011, False)",732,189.241,174.462,0.64,254,2019/11/8,1,1
101333,jpg,57,"(800, 800)","(0, 55, 800, 745)",0,"(0.069, 0.0, 0.0, 0.0)",0.931,"(0.034, False)",632,215.586,136.466,0.001,254,2019/11/8,1,0
101343,jpg,39,"(800, 800)","(306, 47, 182, 719)",0,"(0.059, 0.043, 0.383, 0.39)",0.204,"(0.009, False)",458,198.279,101.299,0.001,253,2019/11/8,1,0
10135,jpg,29,"(300, 300)","(115, 39, 70, 221)",6.639,"(0.13, 0.133, 0.383, 0.383)",0.172,"(0.002, False)",357,190.208,86.758,0.64,254,2019/11/8,1,0
101371,jpg,58,"(800, 800)","(210, 41, 381, 718)",1.081,"(0.051, 0.051, 0.263, 0.261)",0.427,"(0.001, False)",437,158.038,112.242,0.001,253,2019/11/8,1,0
1014,jpg,11,"(400, 400)","(84, 46, 226, 313)",0,"(0.115, 0.102, 0.21, 0.225)",0.442,"(0.01, False)",530,208.009,162.675,0.107,254,2019/11/8,1,0
10142,jpg,45,"(400, 400)","(140, 13, 78, 382)",0,"(0.033, 0.013, 0.35, 0.455)",0.186,"(0.053, True)",403,153.991,103.774,0.64,254,2019/11/8,1,0
10143,jpg,85,"(800, 800)","(42, 231, 726, 370)",4.857,"(0.289, 0.249, 0.052, 0.04)",0.42,"(0.021, False)",280,229.977,89.525,0.64,254,2019/11/8,1,0
10144,jpg,68,"(400, 400)","(124, 50, 142, 290)",0.716,"(0.125, 0.15, 0.31, 0.335)",0.257,"(0.018, False)",675,177.815,147.462,0.64,254,2019/11/8,1,0
10145,jpg,85,"(400, 400)","(105, 23, 196, 352)",1.322,"(0.058, 0.062, 0.263, 0.247)",0.431,"(0.008, False)",372,186.821,95.6,0.64,254,2019/11/8,1,0
10146,jpg,50,"(400, 400)","(125, 86, 108, 247)",0,"(0.215, 0.168, 0.312, 0.417)",0.167,"(0.058, True)",412,85.405,98.93,0.64,254,2019/11/8,1,0
10147,jpg,77,"(400, 400)","(111, 35, 184, 343)",0,"(0.087, 0.055, 0.278, 0.263)",0.394,"(0.018, False)",1649,191.929,295.854,0.64,254,2019/11/8,1,0
1015,png,8,"(400, 400)","(39, 64, 319, 276)",0.247,"(0.16, 0.15, 0.098, 0.105)",0.55,"(0.006, False)",269,147.469,89.39,0.107,253,2019/11/8,1,0
10152,jpg,77,"(400, 400)","(121, 53, 147, 317)",1.061,"(0.133, 0.075, 0.302, 0.33)",0.291,"(0.032, False)",1291,141.247,261.611,0.64,254,2019/11/8,1,0
10153,jpg,92,"(400, 400)","(23, 34, 363, 350)",0.644,"(0.085, 0.04, 0.058, 0.035)",0.794,"(0.025, False)",1577,207.066,316.36,0.64,254,2019/11/8,1,0
10154,jpg,85,"(400, 400)","(59, 51, 255, 317)",0.294,"(0.128, 0.08, 0.147, 0.215)",0.505,"(0.041, False)",1334,224.555,289.305,0.64,254,2019/11/8,1,1
10155,jpg,78,"(400, 400)","(96, 40, 213, 326)",0,"(0.1, 0.085, 0.24, 0.228)",0.434,"(0.01, False)",1010,202.449,226.569,0.64,254,2019/11/8,1,1
101552,jpg,68,"(500, 500)","(109, 23, 284, 455)",0.222,"(0.046, 0.044, 0.218, 0.214)",0.517,"(0.002, False)",259,157.606,72.672,0.001,254,2019/11/8,1,0
10156,jpg,89,"(400, 400)","(51, 18, 287, 362)",0,"(0.045, 0.05, 0.128, 0.155)",0.649,"(0.014, False)",3177,178.939,600.456,0.64,254,2019/11/8,1,1
101560,jpg,51,"(800, 800)","(134, 59, 545, 691)",0.159,"(0.074, 0.062, 0.168, 0.151)",0.588,"(0.01, False)",218,181.299,74.873,0.001,254,2019/11/8,1,0
10157,jpg,83,"(400, 400)","(61, 55, 274, 330)",3.209,"(0.138, 0.037, 0.152, 0.163)",0.565,"(0.05, True)",712,172.689,175.121,0.64,254,2019/11/8,1,0
1016,jpg,152,"(400, 400)","(113, 46, 169, 322)",0.428,"(0.115, 0.08, 0.282, 0.295)",0.34,"(0.019, False)",1004,196.522,227.982,0.107,254,2019/11/8,1,0
10164,jpg,75,"(400, 400)","(95, 67, 220, 253)",0.688,"(0.168, 0.2, 0.237, 0.212)",0.348,"(0.021, False)",338,205.389,125.744,0.64,254,2019/11/8,1,0
101644,jpg,96,"(800, 800)","(120, 74, 561, 652)",0,"(0.092, 0.092, 0.15, 0.149)",0.572,"(0.001, False)",603,194.848,168.79,0.001,253,2019/11/8,1,1
101645,jpg,96,"(800, 800)","(120, 74, 561, 652)",0,"(0.092, 0.092, 0.15, 0.149)",0.572,"(0.001, False)",601,194.848,168.654,0.001,253,2019/11/8,1,1
101646,jpg,97,"(800, 800)","(118, 72, 565, 659)",0,"(0.09, 0.086, 0.147, 0.146)",0.582,"(0.002, False)",662,189.61,175.698,0.001,252,2019/11/8,1,1
101647,jpg,95,"(800, 800)","(118, 72, 565, 659)",0,"(0.09, 0.086, 0.147, 0.146)",0.582,"(0.002, False)",660,189.69,175.304,0.001,253,2019/11/8,1,1
10165,jpg,79,"(800, 800)","(105, 27, 614, 744)",0,"(0.034, 0.036, 0.131, 0.101)",0.714,"(0.015, False)",297,241.185,114.27,0.64,254,2019/11/8,1,0
10168,jpg,167,"(400, 400)","(74, 20, 252, 363)",2.203,"(0.05, 0.043, 0.185, 0.185)",0.572,"(0.004, False)",1458,196.263,263.413,0.64,254,2019/11/8,1,0
101686,jpg,35,"(800, 800)","(318, 31, 167, 739)",0,"(0.039, 0.037, 0.398, 0.394)",0.193,"(0.002, False)",255,165.399,65.573,0.001,253,2019/11/8,1,0
10169,jpg,65,"(400, 400)","(106, 35, 165, 244)",0,"(0.087, 0.302, 0.265, 0.323)",0.252,"(0.111, True)",185,164.623,61.3,0.64,254,2019/11/8,1,0
1017,png,202,"(400, 400)","(59, 40, 308, 315)",0,"(0.1, 0.113, 0.147, 0.083)",0.606,"(0.033, False)",560,188.4,145.351,0.107,254,2019/11/8,1,0
101720,jpg,51,"(800, 800)","(213, 47, 374, 713)",0,"(0.059, 0.05, 0.266, 0.266)",0.417,"(0.004, False)",427,161.136,115.508,0.001,253,2019/11/8,1,0
101722,jpg,32,"(800, 800)","(311, 43, 178, 715)",0.358,"(0.054, 0.052, 0.389, 0.389)",0.199,"(0.001, False)",150,150.568,45.566,0.001,253,2019/11/8,1,0
